month,client,project_type,hours_worked,hourly_rate,income
07.04.2024,Oyoloo,Design,10,54,540
29.05.2024,Mynte,Design,2,33,66
14.02.2024,Skinte,Marketing,22,33,726
02.03.2024,Aimbu,Web Dev,13,53,689
24.05.2024,Dablist,Web Dev,0,45,0
14.11.2024,Katz,Design,23,42,966
25.03.2024,Demizz,Design,13,51,663
31.03.2024,Ntags,SEO,12,22,264
07.01.2024,Wikizz,Web Dev,18,37,666
22.04.2024,Twinder,Marketing,21,49,1029
28.04.2024,Brightbean,Marketing,0,47,0
02.10.2024,Einti,App Dev,2,38,76
16.06.2024,Photospace,Web Dev,6,53,318
25.07.2024,Topicstorm,Design,10,45,450
27.07.2024,Photospace,Design,6,51,306
31.08.2024,Meembee,App Dev,21,20,420
12.02.2024,Zoomlounge,Marketing,24,31,744
08.10.2024,Edgetag,SEO,17,27,459
25.04.2024,Eire,Web Dev,10,27,270
19.11.2024,Buzzdog,SEO,10,55,550
17.02.2024,Plambee,Design,9,22,198
14.07.2024,Edgeclub,Web Dev,22,43,946
25.11.2024,Livefish,Web Dev,5,47,235
11.05.2024,Blogtags,Web Dev,9,47,423
04.06.2024,Babbleopia,SEO,13,55,715
14.11.2024,Innotype,App Dev,11,37,407
07.06.2024,Thoughtmix,App Dev,4,22,88
27.06.2024,Dynazzy,SEO,11,30,330
22.08.2024,Yacero,Web Dev,3,54,162
15.01.2024,Meevee,App Dev,11,53,583
27.02.2024,Mycat,App Dev,10,54,540
20.05.2024,Abatz,Web Dev,0,53,0
03.02.2024,Twinte,Web Dev,2,26,52
08.11.2024,Thoughtstorm,Design,9,38,342
28.06.2024,Eazzy,SEO,11,56,616
16.04.2024,Realcube,Design,17,40,680
19.12.2024,Yakidoo,Web Dev,20,37,740
15.04.2024,Vidoo,App Dev,9,30,270
12.02.2024,Zoombeat,Design,3,41,123
25.09.2024,Minyx,App Dev,5,43,215
01.11.2024,Pixonyx,SEO,3,55,165
15.12.2024,Jetwire,Design,0,26,0
26.09.2024,Meezzy,Web Dev,21,21,441
29.03.2024,Jabbersphere,Design,8,39,312
24.07.2024,Twitterlist,Marketing,6,34,204
30.06.2024,Vinder,SEO,1,43,43
20.10.2024,Cogilith,Design,6,51,306
27.05.2024,Meetz,Marketing,11,50,550
03.04.2024,Youspan,App Dev,1,45,45
11.04.2024,Kazu,Design,16,31,496
13.03.2024,Buzzshare,Marketing,1,56,56
30.05.2024,Linklinks,Marketing,21,50,1050
22.07.2024,Youtags,Web Dev,11,31,341
07.01.2024,Twimm,SEO,0,43,0
27.11.2024,Flipstorm,Web Dev,18,45,810
21.09.2024,Skyndu,SEO,7,21,147
26.08.2024,Devbug,Web Dev,2,54,108
17.08.2024,Skimia,Marketing,1,48,48
14.11.2024,JumpXS,Design,21,37,777
19.03.2024,Oyonder,SEO,7,53,371
16.02.2024,Gigashots,App Dev,19,39,741
24.02.2024,Yotz,Design,22,49,1078
07.12.2024,Rooxo,SEO,25,24,600
05.04.2024,Linkbridge,Marketing,23,24,552
05.01.2024,Gabvine,Marketing,6,21,126
04.03.2024,Eamia,Design,23,27,621
26.07.2024,Dazzlesphere,Web Dev,18,60,1080
31.10.2024,Miboo,Design,20,45,900
30.09.2024,Twitterwire,SEO,0,42,0
19.05.2024,Wikizz,SEO,7,54,378
22.03.2024,Thoughtbeat,Marketing,15,47,705
07.10.2024,Zoovu,Marketing,11,30,330
22.03.2024,Gabspot,Design,6,30,180
01.07.2024,Dablist,Web Dev,14,33,462
21.09.2024,Thoughtworks,Marketing,2,27,54
23.05.2024,Thoughtstorm,Design,4,59,236
06.03.2024,Kwimbee,Web Dev,10,22,220
28.02.2024,Twitterworks,Design,13,28,364
08.09.2024,Thoughtsphere,Web Dev,16,56,896
28.03.2024,Roodel,Web Dev,14,45,630
28.03.2024,Oyonder,App Dev,19,29,551
29.06.2024,Zava,Design,12,22,264
25.03.2024,Gigashots,Marketing,23,57,1311
01.03.2024,Skimia,Marketing,4,20,80
09.08.2024,Dynava,App Dev,2,42,84
06.08.2024,Devshare,App Dev,20,24,480
09.07.2024,Babblestorm,Marketing,4,47,188
14.09.2024,Dynava,SEO,25,32,800
28.06.2024,Eimbee,Design,20,30,600
01.01.2024,Janyx,SEO,14,40,560
21.04.2024,Bubblebox,Web Dev,14,35,490
09.05.2024,Rhyloo,Design,4,28,112
03.04.2024,Flipopia,SEO,7,46,322
15.09.2024,Oyoyo,Web Dev,5,42,210
04.07.2024,Tagopia,SEO,4,37,148
01.07.2024,Wordpedia,App Dev,22,57,1254
27.03.2024,Realfire,SEO,9,28,252
20.05.2024,Mydo,SEO,3,20,60
04.05.2024,Flashset,Web Dev,20,31,620
17.12.2024,Demizz,App Dev,5,50,250
